"Id","Name","countryName","century","continentName","gender","domain"
9307,"Jennifer Aniston","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
9308,"Jeremy Lin","UNITED STATES",1900,"NORTH AMERICA","Male","SPORTS"
9309,"Jeremy Renner","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
9310,"Jerry Brown","UNITED STATES",1900,"NORTH AMERICA","Male","INSTITUTIONS"
9311,"Jerry Goldsmith","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
9312,"Jessica Alba","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
9313,"Jessica Chastain","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
9314,"Jimmie Johnson","UNITED STATES",1900,"NORTH AMERICA","Male","SPORTS"
9315,"Jodie Foster","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
9316,"Joe DiMaggio","UNITED STATES",1900,"NORTH AMERICA","Male","SPORTS"
9317,"John Cage","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
9318,"John Steinbeck","UNITED STATES",1900,"NORTH AMERICA","Male","HUMANITIES"
9319,"John Watts Young","UNITED STATES",1900,"NORTH AMERICA","Male","EXPLORATION"
9320,"Jon Lovitz","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
9321,"Jonathan Davis","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
9322,"Joseph Erlanger","UNITED STATES",1800,"NORTH AMERICA","Male","SCIENCE"
9323,"Joseph Gordon-Levitt","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
9324,"Josh Brolin","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
9325,"Josh Groban","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
9326,"Josh Holloway","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
9327,"Julie Kavner","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
9328,"Juliette Lewis","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
9329,"Kaley Cuoco","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
9330,"Kate Bosworth","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
